transaction_id,timestamp,country,agent_id,customer_msisdn,type,amount,is_reversal,label
TX00149,2026-07-01T01:24:00,NG,AGT-NG-02,+2347004832385,cash_out,1381900.0,False,anomaly_unusual_hour
TX00100,2026-07-01T01:55:00,KE,AGT-KE-02,+254766306261,cash_out,267660.0,False,anomaly_unusual_hour
TX00349,2026-07-01T01:59:00,TZ,AGT-TZ-03,+255602743958,cash_out,4989600.0,False,anomaly_unusual_hour
TX00249,2026-07-01T02:10:00,ZA,AGT-ZA-02,+27736693478,cash_out,31360.0,False,anomaly_unusual_hour
TX00050,2026-07-01T02:15:00,ZW,AGT-ZW-03,+263711412690,cash_out,1909.16,False,anomaly_unusual_hour
TX00300,2026-07-01T02:15:00,GH,AGT-GH-03,+233229011952,cash_out,12090.9,False,anomaly_unusual_hour
TX00099,2026-07-01T02:25:00,KE,AGT-KE-03,+254164460495,cash_out,194530.0,False,anomaly_unusual_hour
TX00199,2026-07-01T03:09:00,UG,AGT-UG-02,+256740278272,cash_out,6718000.0,False,anomaly_unusual_hour
TX00049,2026-07-01T03:15:00,ZW,AGT-ZW-01,+263773520561,cash_out,2054.35,False,anomaly_unusual_hour
TX00299,2026-07-01T03:15:00,GH,AGT-GH-03,+233230673948,cash_out,23665.69,False,anomaly_unusual_hour
TX00350,2026-07-01T03:58:00,TZ,AGT-TZ-02,+255783236056,cash_out,2961500.0,False,anomaly_unusual_hour
TX00200,2026-07-01T04:15:00,UG,AGT-UG-01,+256704945247,cash_out,5586500.0,False,anomaly_unusual_hour
TX00150,2026-07-01T04:34:00,NG,AGT-NG-01,+2349178058567,cash_out,1578100.0,False,anomaly_unusual_hour
TX00250,2026-07-01T04:43:00,ZA,AGT-ZA-01,+27849795836,cash_out,45890.0,False,anomaly_unusual_hour
TX00107,2026-07-01T07:00:00,NG,AGT-NG-03,+2348173797276,cash_in,21400.0,False,normal
TX00228,2026-07-01T07:01:00,ZA,AGT-ZA-01,+27797484896,bill_pay,4140.0,False,normal
TX00271,2026-07-01T07:02:00,GH,AGT-GH-03,+233524108651,airtime,71.55,False,normal
TX00124,2026-07-01T07:10:00,NG,AGT-NG-02,+2347132536593,airtime,227300.0,False,normal
TX00014,2026-07-01T07:12:00,ZW,AGT-ZW-01,+263737215901,cash_in,143.86,False,normal
TX00090,2026-07-01T07:12:00,KE,AGT-KE-03,+254715827940,cash_in,16110.0,False,normal
TX00287,2026-07-01T07:15:00,GH,AGT-GH-02,+233222464184,transfer,1443.95,False,normal
TX00130,2026-07-01T07:22:00,NG,AGT-NG-02,+2348005598749,cash_in,198300.0,False,normal
TX00131,2026-07-01T07:27:00,NG,AGT-NG-03,+2347057089319,transfer,46700.0,False,normal
TX00203,2026-07-01T07:28:00,ZA,AGT-ZA-03,+27782708425,airtime,290.0,False,normal
TX00057,2026-07-01T07:31:00,KE,AGT-KE-02,+254737484777,cash_in,24830.0,False,normal
TX00170,2026-07-01T07:31:00,UG,AGT-UG-03,+256790169671,cash_in,686300.0,False,normal
TX00132,2026-07-01T07:33:00,NG,AGT-NG-01,+2348000571727,bill_pay,90000.0,False,normal
TX00339,2026-07-01T07:34:00,TZ,AGT-TZ-01,+255795043743,cash_out,403200.0,False,normal
TX00054,2026-07-01T07:40:00,KE,AGT-KE-03,+254774071881,bill_pay,2110.0,False,normal
TX00213,2026-07-01T07:40:00,ZA,AGT-ZA-02,+27869980605,transfer,2060.0,False,normal
TX00174,2026-07-01T07:45:00,UG,AGT-UG-01,+256700091644,bill_pay,182600.0,False,normal
TX00267,2026-07-01T07:49:00,GH,AGT-GH-02,+233245282149,transfer,979.47,False,normal
TX00181,2026-07-01T07:50:00,UG,AGT-UG-02,+256788185136,bill_pay,530600.0,False,normal
TX00189,2026-07-01T07:57:00,UG,AGT-UG-03,+256700487012,transfer,759800.0,False,normal
TX00264,2026-07-01T07:57:00,GH,AGT-GH-02,+233531471257,airtime,1444.5,False,normal
TX00303,2026-07-01T07:59:00,TZ,AGT-TZ-02,+255706952102,cash_out,79900.0,False,normal
TX00079,2026-07-01T08:00:00,KE,AGT-KE-01,+254115618365,transfer,20630.0,False,normal
TX00334,2026-07-01T08:05:00,TZ,AGT-TZ-01,+255690171397,cash_in,413700.0,False,normal
TX00016,2026-07-01T08:07:00,ZW,AGT-ZW-02,+263787741215,transfer,122.26,False,normal
TX00212,2026-07-01T08:07:00,ZA,AGT-ZA-01,+27728933297,airtime,900.0,False,normal
TX00261,2026-07-01T08:12:00,GH,AGT-GH-03,+233522773308,airtime,376.1,False,normal
TX00253,2026-07-01T08:14:00,GH,AGT-GH-02,+233264567242,cash_in,948.12,False,normal
TX00210,2026-07-01T08:19:00,ZA,AGT-ZA-02,+27800134099,airtime,2660.0,False,normal
TX00032,2026-07-01T08:25:00,ZW,AGT-ZW-02,+263733268656,cash_out,92.37,False,normal
TX00152,2026-07-01T08:26:00,UG,AGT-UG-02,+256769413468,cash_out,994300.0,False,normal
TX00029,2026-07-01T08:28:00,ZW,AGT-ZW-02,+263734788783,bill_pay,219.75,False,normal
TX00037,2026-07-01T08:29:00,ZW,AGT-ZW-01,+263778649208,cash_out,234.84,False,normal
TX00018,2026-07-01T08:44:00,ZW,AGT-ZW-02,+263772538885,cash_out,155.24,False,normal
TX00033,2026-07-01T08:46:00,ZW,AGT-ZW-02,+263715877065,bill_pay,157.86,False,normal
TX00257,2026-07-01T08:53:00,GH,AGT-GH-03,+233509903105,cash_out,1953.94,False,normal
TX00078,2026-07-01T08:59:00,KE,AGT-KE-01,+254132870465,transfer,11330.0,False,normal
TX00163,2026-07-01T09:02:00,UG,AGT-UG-01,+256772515578,bill_pay,775100.0,False,normal
TX00316,2026-07-01T09:14:00,TZ,AGT-TZ-03,+255688185715,cash_out,428000.0,False,normal
TX00120,2026-07-01T09:15:00,NG,AGT-NG-01,+2347010983263,bill_pay,153900.0,False,normal
TX00038,2026-07-01T09:16:00,ZW,AGT-ZW-01,+263733448347,bill_pay,169.67,False,normal
TX00306,2026-07-01T09:16:00,TZ,AGT-TZ-01,+255715236109,cash_out,69800.0,False,normal
TX00127,2026-07-01T09:22:00,NG,AGT-NG-01,+2349100020101,bill_pay,191600.0,False,normal
TX00105,2026-07-01T09:24:00,NG,AGT-NG-02,+2347023308051,airtime,151800.0,False,normal
TX00296,2026-07-01T09:24:00,GH,AGT-GH-03,+233556175244,cash_out,9151.95,False,anomaly_rapid_reversal
TX00112,2026-07-01T09:25:00,NG,AGT-NG-01,+2349145624180,transfer,241700.0,False,normal
TX00297,2026-07-01T09:26:00,GH,AGT-GH-03,+233556175244,cash_out,-9151.95,True,anomaly_rapid_reversal
TX00227,2026-07-01T09:27:00,ZA,AGT-ZA-03,+27793155935,cash_out,4860.0,False,normal
TX00298,2026-07-01T09:28:00,GH,AGT-GH-03,+233556175244,cash_out,9151.95,False,anomaly_rapid_reversal
TX00116,2026-07-01T09:31:00,NG,AGT-NG-01,+2349000009541,bill_pay,92500.0,False,normal
TX00284,2026-07-01T09:31:00,GH,AGT-GH-03,+233500129967,cash_out,1747.65,False,normal
TX00235,2026-07-01T09:36:00,ZA,AGT-ZA-01,+27791228810,cash_in,470.0,False,normal
TX00104,2026-07-01T09:40:00,NG,AGT-NG-01,+2349069372930,airtime,234900.0,False,normal
TX00176,2026-07-01T09:40:00,UG,AGT-UG-02,+256786749544,cash_in,629400.0,False,normal
TX00275,2026-07-01T09:42:00,GH,AGT-GH-03,+233589658397,airtime,689.64,False,normal
TX00263,2026-07-01T09:43:00,GH,AGT-GH-03,+233297631405,airtime,555.76,False,normal
TX00289,2026-07-01T09:43:00,GH,AGT-GH-01,+233555835865,cash_in,1775.35,False,normal
TX00013,2026-07-01T09:44:00,ZW,AGT-ZW-03,+263717866661,airtime,160.4,False,normal
TX00270,2026-07-01T09:44:00,GH,AGT-GH-01,+233227610773,cash_out,1821.22,False,normal
TX00007,2026-07-01T09:48:00,ZW,AGT-ZW-02,+263737601895,transfer,175.34,False,normal
TX00011,2026-07-01T09:52:00,ZW,AGT-ZW-02,+263776563212,cash_out,61.82,False,normal
TX00136,2026-07-01T09:55:00,NG,AGT-NG-02,+2349185277493,cash_out,86800.0,False,normal
TX00272,2026-07-01T09:57:00,GH,AGT-GH-03,+233264079593,airtime,258.35,False,normal
TX00313,2026-07-01T09:58:00,TZ,AGT-TZ-01,+255642851276,cash_in,212900.0,False,normal
TX00012,2026-07-01T10:00:00,ZW,AGT-ZW-02,+263734402685,bill_pay,143.75,False,normal
TX00059,2026-07-01T10:04:00,KE,AGT-KE-03,+254728452984,cash_in,17730.0,False,normal
TX00006,2026-07-01T10:05:00,ZW,AGT-ZW-03,+263778757491,cash_in,130.42,False,normal
TX00083,2026-07-01T10:06:00,KE,AGT-KE-02,+254164672720,transfer,20650.0,False,normal
TX00086,2026-07-01T10:06:00,KE,AGT-KE-02,+254172326793,bill_pay,21250.0,False,normal
TX00251,2026-07-01T10:08:00,GH,AGT-GH-01,+233284609240,airtime,1791.22,False,normal
TX00158,2026-07-01T10:11:00,UG,AGT-UG-02,+256762368299,cash_in,675000.0,False,normal
TX00276,2026-07-01T10:11:00,GH,AGT-GH-01,+233234138473,bill_pay,1172.47,False,normal
TX00088,2026-07-01T10:15:00,KE,AGT-KE-01,+254193516438,bill_pay,6160.0,False,normal
TX00164,2026-07-01T10:18:00,UG,AGT-UG-02,+256766480445,airtime,415600.0,False,normal
TX00222,2026-07-01T10:18:00,ZA,AGT-ZA-01,+27628195708,airtime,4180.0,False,normal
TX00085,2026-07-01T10:26:00,KE,AGT-KE-01,+254778852611,transfer,15800.0,False,normal
TX00117,2026-07-01T10:26:00,NG,AGT-NG-03,+2348092359722,cash_in,234400.0,False,normal
TX00308,2026-07-01T10:28:00,TZ,AGT-TZ-02,+255656735010,cash_in,405300.0,False,normal
TX00021,2026-07-01T10:30:00,ZW,AGT-ZW-03,+263717511637,cash_out,111.31,False,normal
TX00060,2026-07-01T10:31:00,KE,AGT-KE-02,+254102077642,airtime,8920.0,False,normal
