transaction_id,timestamp,agent_id,customer_msisdn,type,amount,is_reversal,label
TX00198,2026-07-01T03:02:00,AGT-2201,0737769027,cash_out,1490.21,False,anomaly_unusual_hour
TX00200,2026-07-01T03:07:00,AGT-2203,0717036092,cash_out,2939.08,False,anomaly_unusual_hour
TX00199,2026-07-01T03:43:00,AGT-2202,0773831021,cash_out,2625.82,False,anomaly_unusual_hour
TX00197,2026-07-01T04:13:00,AGT-2203,0759489388,cash_out,1627.32,False,anomaly_unusual_hour
TX00070,2026-07-01T07:00:00,AGT-2201,0749627430,airtime,65.19,False,normal
TX00120,2026-07-01T07:00:00,AGT-2201,0741630684,transfer,240.8,False,normal
TX00123,2026-07-01T07:00:00,AGT-2203,0758729106,transfer,239.94,False,normal
TX00177,2026-07-01T07:00:00,AGT-2203,0788805987,cash_out,114.47,False,normal
TX00117,2026-07-01T07:08:00,AGT-2201,0778940124,bill_pay,125.01,False,normal
TX00156,2026-07-01T07:12:00,AGT-2203,0742260247,transfer,130.6,False,normal
TX00159,2026-07-01T07:13:00,AGT-2202,0714413186,cash_in,205.61,False,normal
TX00141,2026-07-01T07:16:00,AGT-2201,0726688642,transfer,71.72,False,normal
TX00103,2026-07-01T07:17:00,AGT-2201,0715791961,cash_out,66.08,False,normal
TX00164,2026-07-01T07:19:00,AGT-2203,0767947110,airtime,9.46,False,normal
TX00125,2026-07-01T07:26:00,AGT-2203,0751927926,cash_in,52.56,False,normal
TX00166,2026-07-01T07:27:00,AGT-2201,0772904873,cash_in,104.52,False,normal
TX00005,2026-07-01T07:35:00,AGT-2201,0758031986,cash_out,137.47,False,normal
TX00026,2026-07-01T07:36:00,AGT-2201,0727100362,bill_pay,11.25,False,normal
TX00086,2026-07-01T07:40:00,AGT-2203,0749208996,transfer,5.81,False,normal
TX00050,2026-07-01T07:49:00,AGT-2201,0781467509,cash_in,113.6,False,normal
TX00047,2026-07-01T07:55:00,AGT-2202,0731065976,cash_out,47.22,False,normal
TX00029,2026-07-01T08:09:00,AGT-2201,0765441883,airtime,208.07,False,normal
TX00003,2026-07-01T08:15:00,AGT-2201,0771991709,bill_pay,35.33,False,normal
TX00136,2026-07-01T08:17:00,AGT-2201,0768049503,cash_in,142.48,False,normal
TX00118,2026-07-01T08:25:00,AGT-2203,0788532138,cash_out,196.86,False,normal
TX00153,2026-07-01T08:25:00,AGT-2202,0749511492,bill_pay,61.69,False,normal
TX00011,2026-07-01T08:32:00,AGT-2202,0736738744,cash_out,233.65,False,normal
TX00095,2026-07-01T08:52:00,AGT-2203,0785507320,airtime,56.41,False,normal
TX00038,2026-07-01T08:53:00,AGT-2203,0727518548,cash_out,122.12,False,normal
TX00100,2026-07-01T08:53:00,AGT-2202,0716445004,transfer,210.58,False,normal
TX00101,2026-07-01T08:59:00,AGT-2201,0715862590,transfer,96.19,False,normal
TX00074,2026-07-01T09:00:00,AGT-2201,0758226629,cash_out,18.57,False,normal
TX00078,2026-07-01T09:00:00,AGT-2202,0772407450,airtime,73.34,False,normal
TX00045,2026-07-01T09:03:00,AGT-2203,0768686665,bill_pay,204.69,False,normal
TX00076,2026-07-01T09:10:00,AGT-2202,0781060779,transfer,94.21,False,normal
TX00147,2026-07-01T09:15:00,AGT-2202,0721568138,airtime,140.39,False,normal
TX00152,2026-07-01T09:15:00,AGT-2201,0735720338,bill_pay,51.12,False,normal
TX00032,2026-07-01T09:22:00,AGT-2201,0764742018,bill_pay,203.82,False,normal
TX00179,2026-07-01T09:22:00,AGT-2202,0762538691,airtime,128.56,False,normal
TX00080,2026-07-01T09:25:00,AGT-2203,0717609864,cash_in,78.41,False,normal
TX00039,2026-07-01T09:27:00,AGT-2203,0762455421,airtime,118.47,False,normal
TX00043,2026-07-01T09:27:00,AGT-2201,0741469656,transfer,57.13,False,normal
TX00157,2026-07-01T09:28:00,AGT-2203,0751106359,cash_in,161.18,False,normal
TX00056,2026-07-01T09:29:00,AGT-2201,0727681641,airtime,44.88,False,normal
TX00030,2026-07-01T09:33:00,AGT-2201,0749862688,transfer,40.92,False,normal
TX00172,2026-07-01T09:40:00,AGT-2201,0774290229,airtime,49.83,False,normal
TX00134,2026-07-01T09:41:00,AGT-2203,0781535087,transfer,167.79,False,normal
TX00019,2026-07-01T09:52:00,AGT-2202,0757967519,transfer,172.27,False,normal
TX00021,2026-07-01T10:00:00,AGT-2202,0735408156,transfer,6.0,False,normal
TX00173,2026-07-01T10:02:00,AGT-2202,0737435343,transfer,35.15,False,normal
TX00096,2026-07-01T10:04:00,AGT-2203,0723378013,bill_pay,69.14,False,normal
TX00149,2026-07-01T10:06:00,AGT-2202,0788498796,cash_out,62.38,False,normal
TX00119,2026-07-01T10:09:00,AGT-2201,0728672641,cash_in,140.12,False,normal
TX00129,2026-07-01T10:19:00,AGT-2201,0748803319,cash_out,69.93,False,normal
TX00007,2026-07-01T10:23:00,AGT-2201,0721999941,bill_pay,55.46,False,normal
TX00114,2026-07-01T10:24:00,AGT-2202,0762041185,airtime,72.99,False,normal
TX00025,2026-07-01T10:28:00,AGT-2201,0726705153,bill_pay,17.88,False,normal
TX00037,2026-07-01T10:30:00,AGT-2203,0719044229,transfer,200.91,False,normal
TX00027,2026-07-01T10:39:00,AGT-2202,0735232182,transfer,152.56,False,normal
TX00004,2026-07-01T10:40:00,AGT-2203,0717655194,cash_in,244.18,False,normal
TX00035,2026-07-01T10:44:00,AGT-2203,0768503235,transfer,238.98,False,normal
TX00174,2026-07-01T10:46:00,AGT-2201,0711639693,transfer,33.84,False,normal
TX00053,2026-07-01T10:53:00,AGT-2202,0737990009,cash_in,101.13,False,normal
TX00155,2026-07-01T10:53:00,AGT-2202,0761677159,transfer,62.06,False,normal
TX00113,2026-07-01T10:56:00,AGT-2201,0777422953,airtime,187.73,False,normal
TX00068,2026-07-01T10:59:00,AGT-2202,0759910141,cash_out,76.04,False,normal
